"Enrofloxacin","Baytril®","Antibiotique (fluoroquinolone)","ENROFLOXACIN"
"Erythromycin","Erythromycin","Antibiotique (macrolide)","ERYTHROMYCIN"
"Etodolac","Etodolac","AINS","ETODOLAC"
"Famciclovir","Famciclovir","Antiviral","FAMCICLOVIR"
"Fenbendazole","Panacur®","Anthelminthique","FENBENDAZOLE, PANACUR"
"Fentanyl","Sublimaze®, Fentanyl","Analgésique opioid","FENTANYL"
"Flumazenil","Flumazenil","Antagoniste benzodiazépine","FLUMAZENIL"
"Flunixin meglumine","Banamine®","AINS","FLUNIXIN, BANAMINE"
"Fluoxetine","Prozac®, Reconcile®","ISRS (comportement)","FLUOXETINE"
"Furosemide","Lasix®, Salix®","Diurétique","FUROSEMIDE"
"Gabapentin","Gabapentin","Analgésique neuropathique","GABAPENTIN"
"Gentamicin","Gentamicin","Antibiotique (aminoglycoside)","GENTAMICIN"
"Glipizide","Glipizide","Antidiabétique","GLIPIZIDE"
"Ivermectin","Heartgard®, Ivomec®","Antiparasitaire (endectocide)","IVERMECTIN, HEARTGARD"
"Ketamine","Ketamine","Anesthésique dissociatif","KETAMINE"
"Ketoprofen","Ketoprofen","AINS","KETOPROFEN"
"Levamisole","Levamisole","Anthelminthique","LEVAMISOLE"
"Levetiracetam","Levéti®","Antiépileptique","LEVETIRACETAM"
"Levothyroxine","Thyro-Tabs®","Hormone thyroïdienne","LEVOTHYROXINE"
"Lidocaine","Lidocaine","Anesthésique local","LIDOCAINE"
"Lomustine","Lomustine","Antineoplasique","LOMUSTINE"
"Marbofloxacin","Zeniquin®","Antibiotique (fluoroquinolone)","MARBOFLOXACIN"
"Maropitant","Cerenia®","Antiemétique","MAROPITANT"
"Meloxicam","Metacam®","AINS","MELOXICAM, METACAM"
"Metoclopramide","Metoclopramide","Antiemétique / prokinétique","METOCLOPRAMIDE"
"Methimazole","Felimazole®, Tapazole®","Antithyroïdien","METHIMAZOLE"
"Methocarbamol","Robaxin®","Relaxant musculaire","METHOCARBAMOL"
"Metronidazole","Metronidazole","Antibiotique (nitroimidazole)","METRONIDAZOLE"
"Milbemycin oxime","Interceptor®","Antiparasitaire interne","MILBEMYCIN"
"Mirtazapine","Mirataz®","Antiemétique / stimulant appétit","MIRTAZAPINE"
"Morphine","Morphine","Analgésique opioid","MORPHINE"
"Moxidectin","Advantage Multi®","Antiparasitaire (endectocide)","MOXIDECTIN"
"Nitenpyram","Capstar®","Antiparasitaire externe (puces)","NITENPYRAM"
"Omeprazole","Omeprazole","Antiulcéreux","OMEPRAZOLE"
"Ondansetron","Ondansetron","Antiemétique","ONDANSETRON"
"Oxfendazole","Oxfendazole","Anthelminthique","OXFENDAZOLE"
"Oxytetracycline","Terramycin®, Tetracycline","Antibiotique (tétracycline)","OXYTETRACYCLINE"
"Pentobarbital","Euthasol®","Euthanasique","PENTOBARBITAL"
"Pentoxifylline","Pentoxifylline","Anti-inflammatoire / hémorhéologique","PENTOXIFYLLINE"
"Pergolide","Prascend®","Dopaminergique (PPID)","PERGOLIDE"
"Phenobarbital","Phenobarbital","Antiépileptique","PHENOBARBITAL"
"Phenylbutazone","Bute®, Phenylbutazone","AINS","PHENYLBUTAZONE"
"Phenylpropanolamine","Proin®","Urinaire incontinence","PHENYLPROPANOLAMINE"
"Pimobendan","Vetmedin®","Inotrope / vasodilatateur","PIMOBENDAN"
"Prednisone / Prednisolone","Prednisone, Prednisolone","Corticostéroïde","PREDNISONE, PREDNISOLONE"
"Pralidoxime","Pralidoxime","Antidote organophosphorés","PRALIDOXIME"
"Praziquantel","Drontal®, Profender®","Antiparasitaire (trematodes, cestodes)","PRAZIQUANTEL"
"Prazosin","Prazosin","Antihypertenseur","PRAZOSIN"
"Prochlorperazine","Prochlorperazine","Antiemétique","PROCHLORPERAZINE"
"Propofol","Propofol","Inducteur anesthésie IV","PROPOFOL"
"Pyrantel pamoate","Strongid®, Drontal®","Anthelminthique","PYRANTEL"
"Selegiline","Anipryl®","Anti-Parkinsonien / comportement","SELEGILINE"
"Selamectin","Revolution®","Antiparasitaire (endectocide externes et internes)","SELAMECTIN"
"Silver sulfadiazine","Silver sulfadiazine","Antibactérien topique","SILVER SULFADIAZINE"
"Streptomycin","Streptomycin","Antibiotique (aminoglycoside)","STREPTOMYCIN"
"Sucralfate","Sucralfate","Antiulcéreux","SUCRALFATE"
"Sulfadimethoxine","Albon®","Antiprotozoaire","SULFADIMETHOXINE"
"Sulfasalazine","Sulfasalazine","Anti-inflammatoire gastro-intestinal","SULFASALAZINE"
"Telazol® (tiletamine + zolazepam)","Telazol®","Anesthésie (dissociatif + benzodiazépine)","TELOTIL"
"Telmisartan","Telmisartan","Antihypertenseur (ARA II)","TELMISARTAN"
"Tepoxalin","Tepoxalin","AINS","TEPOXALIN"
"Theophylline","Theo-Dur®, Theophylline","Bronchodilatateur","THEOPHYLLINE"
"Thiabendazole","Thiabendazole","Anthelminthique","THIABENDAZOLE"
"Tiletamine/Zolazepam","Telazol®","Anesthésie dissociative","TILETAMINE, ZOLAZEPAM"
"Tolazoline","Tolazoline","Antagoniste α₂ (réversion xylazine)","TOLAZOLINE"
"Toltrazuril","Toltrazuril","Anticoccidien","TOLTRAZURIL"
"Trazodone","Trazodone","Antidépresseur (anxiolytique)","TRAZODONE"
"Tramadol","Tramadol","Analgésique opioid","TRAMADOL"
"Triamcinolone acetonide","Triamcinolone","Corticostéroïde topique / injectable","TRIAMCINOLONE"
"Trilostane","Vetoryl®","Inhibiteur stéroïde (Cushing)","TRILOSTANE"
"Trimethoprim / Sulfadiazine","Trimethoprim/Sulfa","Antibiotique (association)","TRIMETHOPRIM, SULFADIAZINE, TMP/SMZ"
"Ursodiol","Ursodiol","Cholérolitique / hépatoprotecteur","URSODIOL"
"Velagliflozin","Soliqua®, Velag lip","Antidiabétique","VELAGLIFOZIN"
"Xylazine","Xylazine","Anesthésique (α₂ agoniste)","XYLAZINE"
"Yohimbine","Yohimbine","Antagoniste α₂ (réversion xylazine)","YOHIMBINE"
"Zonisamide","Zonisamide","Antiépileptique","ZONISAMIDE"
